Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,6,Metropolitan Region,Greenvale (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Gruyere
MULTIPOLYGON,1,0,Metropolitan Region,Guys Hill
MULTIPOLYGON,1,3,Metropolitan Region,Hadfield
MULTIPOLYGON,1,5,Metropolitan Region,Hallam
MULTIPOLYGON,1,16,Metropolitan Region,Hampton (Vic.)
MULTIPOLYGON,1,15,Metropolitan Region,Hampton East
MULTIPOLYGON,1,40,Metropolitan Region,Hampton Park
MULTIPOLYGON,1,0,Metropolitan Region,Harkaway
MULTIPOLYGON,1,5,Metropolitan Region,Hastings (Vic.)
MULTIPOLYGON,1,285,Metropolitan Region,Hawthorn (Vic.)
MULTIPOLYGON,1,181,Metropolitan Region,Hawthorn East
MULTIPOLYGON,1,0,Metropolitan Region,Healesville
MULTIPOLYGON,1,0,Metropolitan Region,Heath Hill
MULTIPOLYGON,1,41,Metropolitan Region,Heatherton
MULTIPOLYGON,1,9,Metropolitan Region,Heathmont
MULTIPOLYGON,1,25,Metropolitan Region,Heidelberg
MULTIPOLYGON,1,17,Metropolitan Region,Heidelberg Heights
MULTIPOLYGON,1,22,Metropolitan Region,Heidelberg West
MULTIPOLYGON,1,25,Metropolitan Region,Highett
MULTIPOLYGON,1,3,Metropolitan Region,Hillside (Melton - Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Hmas Cerberus
MULTIPOLYGON,1,0,Metropolitan Region,Hoddles Creek
MULTIPOLYGON,1,0,Metropolitan Region,Hopetoun Park
MULTIPOLYGON,1,36,Metropolitan Region,Hoppers Crossing
MULTIPOLYGON,1,157,Metropolitan Region,Hughesdale
MULTIPOLYGON,1,0,Metropolitan Region,Humevale
MULTIPOLYGON,1,35,Metropolitan Region,Huntingdale (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Hurstbridge
MULTIPOLYGON,1,0,Metropolitan Region,Iona
MULTIPOLYGON,1,65,Metropolitan Region,Ivanhoe (Vic.)
MULTIPOLYGON,1,18,Metropolitan Region,Ivanhoe East
MULTIPOLYGON,1,0,Metropolitan Region,Jacana
MULTIPOLYGON,1,0,Metropolitan Region,Jam Jerrup
MULTIPOLYGON,1,0,Metropolitan Region,Jericho (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Junction Village
MULTIPOLYGON,1,0,Metropolitan Region,Kalkallo
MULTIPOLYGON,1,0,Metropolitan Region,Kallista
MULTIPOLYGON,1,0,Metropolitan Region,Kalorama
MULTIPOLYGON,1,0,Metropolitan Region,Kangaroo Ground
MULTIPOLYGON,1,0,Metropolitan Region,Kealba
MULTIPOLYGON,1,3,Metropolitan Region,Keilor
MULTIPOLYGON,1,5,Metropolitan Region,Keilor Downs
MULTIPOLYGON,1,21,Metropolitan Region,Keilor East
MULTIPOLYGON,1,0,Metropolitan Region,Keilor Lodge
MULTIPOLYGON,1,0,Metropolitan Region,Keilor North
MULTIPOLYGON,1,0,Metropolitan Region,Keilor Park
MULTIPOLYGON,1,75,Metropolitan Region,Kensington (Vic.)
MULTIPOLYGON,1,320,Metropolitan Region,Kew (Vic.)
MULTIPOLYGON,1,51,Metropolitan Region,Kew East
MULTIPOLYGON,1,122,Metropolitan Region,Keysborough
MULTIPOLYGON,1,7,Metropolitan Region,Kilsyth
MULTIPOLYGON,1,0,Metropolitan Region,Kilsyth South
MULTIPOLYGON,1,0,Metropolitan Region,Kinglake
MULTIPOLYGON,1,0,Metropolitan Region,Kinglake Central
MULTIPOLYGON,1,0,Metropolitan Region,Kinglake West
MULTIPOLYGON,1,0,Metropolitan Region,Kings Park (Vic.)
MULTIPOLYGON,1,97,Metropolitan Region,Kingsbury
MULTIPOLYGON,1,3,Metropolitan Region,Kingsville
MULTIPOLYGON,1,32,Metropolitan Region,Knoxfield
MULTIPOLYGON,1,4,Metropolitan Region,Koo Wee Rup
MULTIPOLYGON,1,0,Metropolitan Region,Koo Wee Rup North
MULTIPOLYGON,1,11,Metropolitan Region,Kooyong
MULTIPOLYGON,1,0,Metropolitan Region,Kurunjang
MULTIPOLYGON,1,0,Metropolitan Region,Labertouche
MULTIPOLYGON,1,22,Metropolitan Region,Lalor
MULTIPOLYGON,1,0,Metropolitan Region,Lang Lang
MULTIPOLYGON,1,0,Metropolitan Region,Lang Lang East
MULTIPOLYGON,1,3,Metropolitan Region,Langwarrin
MULTIPOLYGON,1,0,Metropolitan Region,Langwarrin South
MULTIPOLYGON,1,0,Metropolitan Region,Launching Place
MULTIPOLYGON,1,14,Metropolitan Region,Laverton (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Laverton North
MULTIPOLYGON,1,7,Metropolitan Region,Lilydale (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Little River (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Loch Valley
MULTIPOLYGON,1,0,Metropolitan Region,Long Forest
MULTIPOLYGON,1,0,Metropolitan Region,Longwarry
MULTIPOLYGON,1,0,Metropolitan Region,Longwarry North
MULTIPOLYGON,1,3,Metropolitan Region,Lower Plenty
MULTIPOLYGON,1,43,Metropolitan Region,Lynbrook
MULTIPOLYGON,1,17,Metropolitan Region,Lyndhurst (Vic.)
MULTIPOLYGON,1,17,Metropolitan Region,Lysterfield
MULTIPOLYGON,1,3,Metropolitan Region,Lysterfield South
MULTIPOLYGON,1,0,Metropolitan Region,Macclesfield (Vic.)
MULTIPOLYGON,1,68,Metropolitan Region,Macleod (Vic.)
MULTIPOLYGON,1,108,Metropolitan Region,Maidstone
MULTIPOLYGON,1,0,Metropolitan Region,Main Ridge
MULTIPOLYGON,1,37,Metropolitan Region,Malvern (Vic.)
MULTIPOLYGON,1,793,Metropolitan Region,Malvern East
MULTIPOLYGON,1,0,Metropolitan Region,Mambourin
MULTIPOLYGON,1,195,Metropolitan Region,Maribyrnong
MULTIPOLYGON,1,0,Metropolitan Region,Maryknoll
MULTIPOLYGON,1,0,Metropolitan Region,Marysville
MULTIPOLYGON,1,0,Metropolitan Region,Matlock
MULTIPOLYGON,1,0,Metropolitan Region,McCrae
MULTIPOLYGON,1,96,Metropolitan Region,McKinnon
MULTIPOLYGON,1,0,Metropolitan Region,McMahons Creek
MULTIPOLYGON,1,3,Metropolitan Region,Meadow Heights
MULTIPOLYGON,1,6392,Metropolitan Region,Melbourne
MULTIPOLYGON,1,0,Metropolitan Region,Melbourne Airport
MULTIPOLYGON,1,3,Metropolitan Region,Melton (Vic.)
MULTIPOLYGON,1,3,Metropolitan Region,Melton South
MULTIPOLYGON,1,6,Metropolitan Region,Melton West
MULTIPOLYGON,1,57,Metropolitan Region,Mentone
MULTIPOLYGON,1,0,Metropolitan Region,Menzies Creek
MULTIPOLYGON,1,9,Metropolitan Region,Mernda
MULTIPOLYGON,1,0,Metropolitan Region,Merricks
MULTIPOLYGON,1,0,Metropolitan Region,Merricks Beach
MULTIPOLYGON,1,0,Metropolitan Region,Merricks North
MULTIPOLYGON,1,0,Metropolitan Region,Mickleham
MULTIPOLYGON,1,0,Metropolitan Region,Middle Park (Vic.)
MULTIPOLYGON,1,63,Metropolitan Region,Mill Park
MULTIPOLYGON,1,0,Metropolitan Region,Millgrove
MULTIPOLYGON,1,99,Metropolitan Region,Mitcham (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Modella
MULTIPOLYGON,1,3,Metropolitan Region,Monbulk
MULTIPOLYGON,1,0,Metropolitan Region,Monomeith
MULTIPOLYGON,1,85,Metropolitan Region,Mont Albert
MULTIPOLYGON,1,66,Metropolitan Region,Mont Albert North
MULTIPOLYGON,1,9,Metropolitan Region,Montmorency
MULTIPOLYGON,1,9,Metropolitan Region,Montrose (Vic.)
MULTIPOLYGON,1,38,Metropolitan Region,Moonee Ponds
MULTIPOLYGON,1,56,Metropolitan Region,Moorabbin
MULTIPOLYGON,1,0,Metropolitan Region,Moorabbin Airport
MULTIPOLYGON,1,0,Metropolitan Region,Moorooduc
MULTIPOLYGON,1,34,Metropolitan Region,Mooroolbark
MULTIPOLYGON,1,15,Metropolitan Region,Mordialloc
MULTIPOLYGON,1,5,Metropolitan Region,Mornington (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Mount Burnett
MULTIPOLYGON,1,0,Metropolitan Region,Mount Cottrell
MULTIPOLYGON,1,0,Metropolitan Region,Mount Dandenong
MULTIPOLYGON,1,108,Metropolitan Region,Mount Eliza
MULTIPOLYGON,1,3,Metropolitan Region,Mount Evelyn
MULTIPOLYGON,1,7,Metropolitan Region,Mount Martha
MULTIPOLYGON,1,0,Metropolitan Region,Mount Toolebewong
MULTIPOLYGON,1,654,Metropolitan Region,Mount Waverley
MULTIPOLYGON,1,205,Metropolitan Region,Mulgrave (Vic.)
MULTIPOLYGON,1,193,Metropolitan Region,Murrumbeena
MULTIPOLYGON,1,0,Metropolitan Region,Nangana
MULTIPOLYGON,1,0,Metropolitan Region,Nar Nar Goon
MULTIPOLYGON,1,0,Metropolitan Region,Nar Nar Goon North
MULTIPOLYGON,1,0,Metropolitan Region,Narbethong (Vic.)
