,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number,PS_School_Number,School_Total,Region
41,BEVERFORD,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
42,BEVERIDGE,1.0,0.0,0.0,0.0,1.0,HUME
43,BIRREGURRA,1.0,0.0,0.0,0.0,1.0,BARWON
44,BITTERN,1.0,0.0,0.0,0.0,1.0,SOUTHERN
45,BLACK ROCK,2.0,0.0,0.0,0.0,2.0,SOUTHERN
46,BRANXHOLME,1.0,0.0,0.0,0.0,1.0,BARWON
47,BRAYBROOK,1.0,2.0,0.0,0.0,3.0,WESTERN
48,BRIAR HILL,2.0,0.0,0.0,0.0,2.0,NORTHERN
49,BRIDGEWATER,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
50,BRIGHT,2.0,1.0,0.0,1.0,2.0,HUME
51,BRIGHTON,7.0,3.0,0.0,2.0,8.0,SOUTHERN
52,BRIGHTON EAST,3.0,2.0,0.0,1.0,4.0,SOUTHERN
53,BROADFORD,1.0,1.0,0.0,0.0,2.0,HUME
54,BROADMEADOWS,1.0,0.0,1.0,0.0,2.0,NORTHERN
55,BRUNSWICK EAST,3.0,0.0,0.0,0.0,3.0,NORTHERN
56,BRUNSWICK WEST,4.0,0.0,0.0,0.0,4.0,NORTHERN
